_Accel 10,Accel 25,Accel 50,Accel 75,Accel 90,Accel Ave,bearingRate 10,bearingRate 25,bearingRate 50,bearingRate 75,bearingRate 90,bearingRate ave,Cluster,Distance Traveled,F1,Jerk 10,Jerk 25,Jerk 50,Jerk 75,Jerk 90,Jerk Ave,Last Lat,Last Long,Number of Records,Speed 10,Speed 25,Speed 50,Speed 75,Speed 90,Speed Ave,Start Lat,Start Long,Time Traveled
-5.506305118,-0.819747912,0.002439871,0.438598354,1.967707952,-0.477095464,2.69E-06,9.40E-06,2.28E-05,5.54E-05,0.000106876,7.35E-05,1,4.85813,0,-2.870219472,-0.257609043,0.035496028,0.537371317,4.305528308,0.145479494,39.975233,116.3314,1,2.248037078,2.990701299,5.036995673,9.585008286,17.8870244,9.098423687,39.970376,116.399556,32.53333334
-0.606974536,-0.164879735,-0.000201755,0.146160992,0.60600175,-0.017835845,2.28E-06,1.10E-05,2.47E-05,8.76E-05,0.000535894,0.000362911,2,2.465622,0,-0.237365504,-0.04541749,0.002505749,0.069851001,0.318621036,0.006451297,39.9910016,116.2980633,1,1.405008241,2.170798947,2.618638729,3.553204084,7.507439357,3.67044288,39.9907399,116.2980683,215.85
-0.425226854,-0.134063827,-0.01555204,0.071134859,0.26544908,-0.068634572,6.64E-06,1.36E-05,4.02E-05,9.40E-05,0.000664368,0.000236008,2,0.762343,0,-0.075772652,-0.016848263,0.001131915,0.041363333,0.13507216,0.009752826,39.9905183,116.2972616,1,1.308555723,1.831679111,2.177278944,2.918158217,3.671134042,2.583672681,39.9835766,116.3035116,166.1833332
-0.278568403,-0.089675513,-0.000381151,0.068579986,0.25809699,-0.024083738,2.15E-06,4.57E-06,1.79E-05,4.70E-05,0.000881272,0.000306194,2,5.863134,0,-0.085463253,-0.030059507,-8.23E-06,0.023467641,0.096566706,0.012523165,39.9805249,116.3365766,1,0.751882449,1.58723918,1.985400652,2.925903363,19.57465183,4.879825963,39.9910099,116.2983933,228.3833333
-1.431516297,-0.484001694,-0.044496769,0.281599898,1.148086729,-0.137499124,6.72E-06,1.57E-05,4.26E-05,0.000109682,0.000624148,0.00054205,2,13.289549,0,-0.485273927,-0.121600582,0.000148961,0.182823016,0.532026849,0.029650522,39.990285,116.2939899,1,1.991870604,3.393364326,5.781604706,10.93077454,21.78961317,9.32671691,39.9905749,116.2978983,202.3333334
-0.824627914,-0.12500784,-0.005872542,0.125711471,0.501143863,-0.103109819,2.28E-06,6.82E-06,1.81E-05,8.81E-05,0.000894613,0.000754541,1,6.517367,0,-0.387093505,-0.03784307,0.000100918,0.026934891,0.137450108,-0.012728285,39.9844833,116.3462049,1,2.252590907,2.647798382,3.217262438,10.94758434,23.49335325,8.152661298,39.9309566,116.2982433,43.76666678
-0.767235845,-0.264130748,-0.002111698,0.171272504,0.640749735,-0.108776424,8.88E-06,2.18E-05,5.82E-05,0.000219374,0.001293806,0.000566532,2,6.779813,0,-0.218992379,-0.061084687,0.000137999,0.092429701,0.270764036,0.031149322,39.9897566,116.298955,1,0.845576952,1.612529986,3.033718528,6.693375078,11.40192599,5.467752381,39.992065,116.2984116,294.0833334
-1.633441527,-0.727194972,0.001170197,0.283218614,0.911910191,-0.111200644,2.28E-06,1.57E-05,8.39E-05,0.000996419,0.005336996,0.001186552,5,7.11586,0,-0.497808041,-0.056825424,0.000179521,0.081017351,0.425924529,0.016279588,40.0031366,116.2787483,1,0.751794408,2.183094027,18.35041109,31.87921927,64.81121114,22.59338894,39.9904983,116.2981399,154.2500001
-1.50718693,-0.394380722,0.012366334,0.368202084,0.953327136,0.046486992,2.28E-06,6.85E-06,1.78E-05,3.80E-05,0.00010503,0.000762192,0,4.065544,0,-0.381307084,-0.102007181,-0.012870583,0.110464511,0.364671954,-0.058162811,39.99047,116.298535,1,2.750475161,5.542561758,19.02658363,23.84881442,33.84098805,17.13390944,39.945455,116.2672733,14.8666667
-0.450690419,-0.182729705,-0.023580016,0.055809904,0.288707538,-0.092071729,4.57E-06,1.14E-05,2.69E-05,7.61E-05,0.000874594,0.000322072,0,5.869294,0,-0.107916053,-0.02877103,-1.28E-05,0.038138896,0.09378973,0.006793255,39.9910133,116.2975366,1,0.886104667,1.716390048,2.43143882,5.408403269,38.43050323,9.279704153,39.9827649,116.3876333,71.73333332
-0.879518859,-0.106126917,-0.019008058,0.30513687,0.383615058,-0.093661879,8.54E-06,2.90E-05,6.27E-05,9.85E-05,0.000146482,7.19E-05,1,0.038363,0,-0.190817105,-0.048959865,0.000863608,0.157276417,0.460910427,0.145021338,39.9897283,116.2992033,1,2.429714379,2.882883676,3.152158471,3.629518239,4.523462251,3.439918945,39.9897116,116.2996949,0.600000046
-0.578520689,-0.432145596,0.004277649,0.145944217,0.321863548,-0.162070391,3.47E-05,5.77E-05,0.000115328,0.000649409,0.002280319,0.000653072,1,0.308818,0,-0.127958451,-0.019851745,0.015578682,0.113670836,0.157901017,0.121899709,39.986925,116.2988283,1,0.512655379,1.180214515,2.412444039,3.314516252,4.024441258,2.348464428,39.9905749,116.2980766,18.04999997
